text,category
"ISRAEL.  A bus carrying schoolchildren from Tel Aviv on a trip to the Negev Desert was blown up when it hit a mine planted by Al Fatah twelve miles north of Elat.  Two Israeli adults were killed and twenty-eight children injured in the blast.  The Israelis retaliated by attacking the village of Karameh, which was believed to be a major Fatah base in Jordan. One hundred fifty guerrillas were killed another 150 captured by the Israelis, who lost 29 dead and 70 wounded.  The Jordanians intervened with tanks, and the Israelis retreated.  The Palestinians have since viewed this engagement as a major victory.",terror
"BRAZIL.  A large bomb exploded in the USIS library in Sao Paulo, damaging one-quarter of the premises and injuring three young Brazilians.",terror
UNITED STATES - Unidentified anti-Castro Cubans attempted to bomb the Miami branch of the Spanish National Tourist Office.,terror
AUSTRIA.  A time bomb believed to have been planted by Croatian terrorists exploded at the Yugoslav consulate at Graz.,terror
"SPAIN.  A bomb exploded in the U.S. embassy, breaking windows in the building and those of a car belonging to a defense attache.",terror
CANADA.  Two time bombs exploded at the Yugoslav embassy in Ottawa. Croatian terrorists were believed to be responsible.,terror
UNITED STATES.  The Mexican mission to the United States was bombed by El Poder Cubano.,terror
UNITED STATES.  The Spanish National Tourist Office in New York City was bombed by El Poder Cubano.,terror
BRAZIL.  A Molotov cocktail was thrown onto the property of the U.S. consulate general in Recife.  The bomb fell short of the building and burned a small garden area.,terror
DOMINICAN REPUBLIC.  Police removed and disarmed a time bomb placed in the bathroom of the Binational Center in Santiago de los Caballeros.,terror
URUGUAY.  An unexploded Molotov cocktail was found on the steps of the Binational Center building in Montevideo.,terror
"CANADA.  An explosion, probably caused by dynamite, damaged the entrance door of the U.S. embassy in Quebec, as well as breaking a number of windows.",terror
"BELGIUM.  A Molotov cocktail exploded in the basement window well of the USIS library in Brussels, causing no injuries.",terror
"UNITED STATES.  The British cargo ship Granwood, 25 miles from Key West, Florida, was extensively damaged by a bomb allegedly placed by El Poder Cubano members.",terror
UNITED STATES.  The Mexican consul general's residence in Miami was damaged by a bomb placed by El Poder Cubano.,terror
"UNITED STATES.  El Poder Cubano was credited with bombing a Japanese ship the Asaka Maru near Tampa, Florida, causing $100,000 in damage.",terror
UNITED STATES - El Poder Cubano bombed the Spanish National Tourist Office in New York City.They were previously bombed on 22 April 1968.,terror
"UNITED STATES.  The Japanese ship Mikagasan Maru, in Galveston, Texas, was extensively damaged by a bomb allegedly placed by El Poder Cubano.",terror
"BAHAMAS.  Haitian Consul Joseph Antoine Dorce was assassinated by four Haitian exiles, members of the Haitian Coalition, a New York-based anti-Duvalier organization.",terror
"DOMINICAN REPUBLIC.  A Venezuelan VIASA Airlines DC9, flying from Santo Domingo to Curacao was hijacked to Cuba by three Dominican leftists.",terror
UNITED STATES.  The Spanish National Tourist Office in New York City was again bombed by El Poder Cubano.This is the third time this office was bombed.  See 22 April and 30 May 1968.,terror
UNITED STATES.  The Canadian consulate and tourist office in New York City was bombed by El Poder Cubano.,terror
UNITED STATES.  The Australian National Tourist Office in New York City was bombed by El Poder Cubano.,terror
UNITED STATES.  The Japanese National Tourist Office in New York City was bombed by El Poder Cubano.,terror
UNITED STATES.  The Yugoslav mission to the United Nations in New York City was bombed by El Poder Cubano.,terror
UNITED STATES.  The Cuban mission to the United Nations in New York City was bombed by El Poder Cubano.,terror
UNITED STATES.  El Poder Cubano terrorists bombed the Mexican National Tourist Office in Chicago.,terror
UNITED STATES.  A bomb placed by El Poder Cubano in the French National Tourist Office in New York City was found and removed by police.,terror
UNITED STATES.  A hand grenade was thrown at the residence of the Cuban Ambassador to the United Nations in New York City.,terror
"UNITED STATES.  A bomb placed by El Poder Cubano in the Mexican Consulate was dismantled by police as was another bomb at the offices of Aeronaves de Mexico, the Mexican national airline.",terror
"UNITED STATES.  Police dismantled a bomb placed by El Poder Cubano at the offices of Aeronaves de Mexico, the Mexican national airline. Another bomb in the Mexican Consulate was also defused.",terror
DENMARK.  A time bomb believed to have been planted by Croatian terrorists operating from Sweden was discovered at the Yugoslav embassy in Copenhagen and disarmed.,terror
NORWAY.  A time bomb believed to have been planted by Croatian terrorists operating from Sweden was discovered at the Yugoslav embassy in Oslo and disarmed.,terror
UNITED STATES - El Poder Cubano placed a bomb at the Shell Data Center in Los Angeles.,terror
UNITED STATES.  An Air France ticket office in Los Angeles was damaged by a bomb placed by El Poder Cubano.,terror
UNITED STATES.  El Poder Cubano terrorists bombed the Mexican National Tourist Office in Los Angeles.,terror
UNITED STATES.  El Poder Cubano bombed the Japan Air Lines offices in Los Angeles.,terror
ECUADOR.  A small bomb exploded at the Quito home of the U.S. public affairs officer.,terror
"ITALY.  An El Al Israel Airlines plane flying from Rome to Tel Aviv with 10 crew members and 38 passengers was hijacked and diverted to Algeria.  Three armed members of the Popular Front for the Liberation of Palestine (PFLP) calling themselves the PFLP General Command were the perpetrators.  The plane landed in Algiers. The Algerian government released 19 non-Israeli passengers, who were flown to Paris the next day.  Ten Israelis were released and flown to Geneva before going on to Tel Aviv.  The  Algerian government continued to hold the plane with seven crew members and five Israeli male passengers.    The PFLP officials said that they had asked the International Red Cross to supervise the exchange of the Israeli crew and passengers in Algiers for captured Palestinian guerrillas in prison in Israel.  The Israeli government denounced the hijacking as airborne piracy, and asked the Algerian authorities to release the plane and the Israeli passengers and crew.",terror
UNITED STATES.  Anti-Castro Cuban terrorists bombed the British consulate in Los Angeles.,terror
"UNITED STATES.  At sea, 300 miles east of Miami, Florida, the British freighter Lancastrian Prince was the scene of an attempted bombing.",terror
UNITED STATES.  The Bank of Tokyo Trust Company in New York was bombed by El Poder Cubano.,terror
"ISRAEL.  Palestinian terrorists fired three bazooka shells into the town of Ein Yahav, shattering an empty infirmary but injuring no one.",terror
"UNITED STATES.  A 311-foot British freighter Caribbean Venture was seriously damaged by an underwater explosion as she lay at anchor in Biscayne Bay, Miami, Florida.  Several hours later, El Poder Cubano said it had planted the mine because of British trade with Cuba.  The vessel settled five feet in the water after the blast.  There were no injuries.",terror
"TURKEY.  Two firebombs were thrown at the USIS office in Izmir, causing slight damage.  A Turkish communist suspect was arrested.",terror
UNITED STATES.  A Mexican airline office in Miami was damaged by a bomb placed by El Poder Cubano.,terror
"ISRAEL.  Al Fatah exploded three grenades in Jerusalem's Jewish section, injuring eight Israelis and two Americans.",terror
"ISRAEL.  An Al Fatah bomb went off one-half mile from the Parliament building in Jerusalem, causing no damage and no injuries.  ",terror
"ISRAEL.  A bomb planted by Palestinian terrorists exploded in the garden of the U.S. consulate in east Jerusalem, shattering windows but causing no injuries.",terror
"GUATEMALA.  Members of the FAR killed John Gordon Mein, U.S. ambassador to Guatemala, in downtown Guatemala City as he attempted to avoid being kidnapped by the guerrillas.  A car forced the ambassador's car to the side of the street and a small truck blocked it from behind.  As the guerrillas, some carrying automatic weapons, approached his car, the ambassador opened the door on the other side and ran.  He was struck from behind by a burst of fire from a submachine gun and died instantly.On the following day the FAR issued a communique stating that they had planned to kidnap Mein and hold him as hostage for the release of Camilo Sanchez, one of the FAR commanders who had been captured earlier by government forces.",terror
"UNITED STATES.  Croatian terrorists planted a bomb aboard the Kupres, a Yugoslav ship.  The bomb was located and disarmed after a tip from the FBI.",terror
ISRAEL.  Three bombs exploded in and near the central bus station in Tel Aviv.   Four hundred Arabs were arrested for questioning.  One Israeli was killed and seventy-one wounded.,terror
CANADA.  An Air Canada Viscount four-engine turbo-prop flying from St.John to Toronto was hijacked to Cuba by an American claiming to belong to a U.S. Black Power group.,terror
"ISRAEL.  Al-Sa'iqa attacked a military police headquarters in Baniyas, an Israeli-occupied area of the Golan Heights.  The facility was destroyed and all five occupants killed.",terror
UNITED STATES.  El Poder Cubano terrorists fired upon the Polish vessel Polancia in a Miami harbor.,terror
ISRAEL.  Five members of Al Fatah infiltrated eleven miles past the Jordan River cease-fire line and ambushed an Israeli army patrol.  All the terrorists died and one member of the patrol was killed.  Four were injured.,terror
ARGENTINA.  Two Molotov cocktails exploded on the sidewalk outside the U.S. Embassy in Buenos Aires shortly after midnight.  Pamphlets were found nearby claiming the act for Movimiento Peronista.,terror
ARGENTINA.  A bomb exploded at the Binational Center building causing no damage or injuries.,terror
DOMINICAN REPUBLIC. An explosive device was dismantled in front of the USIS building.,terror
DOMINICAN REPUBLIC.  An explosive device found in front of the US Marine security guard's residence in Santo Domingo was dismantled.,terror
DOMINICAN REPUBLIC.  A group of youths threw Molotov cocktails at the entrance of the Santiago de los Caballeros Binational Center entrance.  A fire caused slight damage.,terror
"ARGENTINA.  A bomb exploded in the early morning hours in Cordoba, shattering windows of the Binational Center library.",terror
BOLIVIA.  A bomb went off on the ground floor of the entrance to the USIS building in La Paz.,terror
"BRAZIL.  Members of the Popular Revolutionary Vanguard machine-gunned U.S. Army Captain Charles R. Chandler, in front of his home in Sao Paulo.",terror
COLOMBIA.  A bomb exploded in a Peace Corp jeep at about 3AM.  A time fuse was used.  Damage was negligible.(According to US State Dept Airgram),terror
UNITED STATES - The Socialist Workers Party Building in Los Angeles was bombed by members of El Poder Cubano.,terror
"ARGENTINA.  A bomb exploded inside the USIS library in Buenos Aires, blowing out plate glass windows and damaging the interior.",terror
UNITED STATES.  El Poder Cubano bombed the Air Canada offices in Miami Beach.,terror
UNITED STATES - Northwest Orient Airlines offices in Miami were bombed by El Poder Cubano.,terror
UNITED STATES.  Police captured El Poder Cubano terrorists who had attempted to assassinate the Cuban ambassador to the United Nations in New York City.  The ambassador was not injured.,terror
FEDERAL REPUBLIC OF GERMANY.  Three prominent anti-Communist Croatian emigre leaders were found murdered in a Munich apartment.,terror
BRAZIL.  A Sears Roebuck store was bombed.,terror
"ECUADOR. Two sticks of dynamite which had failed to detonate because of a fuse malfunction, were found in the library of the Quito Binational Center.",terror
"UNITED STATES.  Armed with a revolver, a member of the Black Panthers, Raymond Johnson of Alexandria, LA, hijacked a National Airlines flight #186 to Cuba.  The flight was enroute from New Orleans to Miami.  The hijacker was arrested and held by Cuba.",terror
FRANCE.  Two Italians hijacked an Olympic Airways jet en route from Paris to Athens to publicize opposition to the military junta in Greece.  The two brandished a pistol and a grenade.  They gave the 130 passengers handbills telling them that you have just been punished for going to Greece.  Athens headquarters of Olympic Airways promised to prosecute ruthlessly the hijackers.,terror
BELGIUM.  A bomb believed to have been planted by Croatian terrorists was located at the Yugoslav embassy in Brussels.,terror
"ISRAEL.  A large bomb exploded in Jerusalem's busiest open-air market, killing 12 and wounding 52.",terror
ECUADOR.  A time bomb was discovered in the Quito Binational Center one hour before it was set to explode.,terror
"GREECE.  An Israeli passenger was killed and a stewardess was wounded in a gunfire attack on an El Al Israel Airlines plane at the Athens airport. In retaliation, Israeli commandos attacked Beirut Airport on December 28, 1968, destroying or damaging 13 airplanes.  Two Palestinians who were sentenced to 17 and 14 years imprisonment for the Athens incident were freed after the hijacking of a Greek airliner to Cairo on July 22, 1970.",terror
ISRAEL.  Al Fatah claimed credit for shelling the town of Beisan (Bet Shean) in northeast Israel.,terror
"ISRAEL.  Al Fatah shelled the settlement of Kiryat Shmona in upper Galilee. Lebanese authorities denied that the rockets had been from their soil, while Al Fatah claimed that they had operated within Israel.",terror
GREECE.  An Olympic Airways flight from Crete to Athens was hijacked to Cairo by a lone hijacker.,terror
"FEDERAL REPUBLIC OF GERMANY.  Arsonists set fire to the Amerika Haus Library in Frankfurt.  Damage estimated at $5,000.",terror
"BOLIVIA.  A bomb thrown from a moving vehicle exploded in front of the U.S. Consulate in Cochabamba, breaking windows.",terror
"SPAIN.  The North American Study Center in Valencia, a USIS-supported facility, was bombed.",terror
"SWITZERLAND.  An El Al Israel Airlines jet preparing to take off from Zurich to Tel Aviv was machine-gunned by four Arab terrorists who belonged to the PFLP.  The terrorists fired 200 bullets and lobbed incendiary grenades from their car as the plane taxied down the runway. The pilot was killed.  In the exchange of gunfire between the terrorists and an Israeli airline security guard, one attacker was killed and three Israeli crew members and three passengers were wounded.The three terrorists who surrendered were later tried and sentenced to 12 years hard labor, a sentence Arab states denounced.  The Israeli security guard was tried and acquitted after being accused of killing the Arab attacker after he had surrendered.",terror
ISRAEL.  A bomb killed two and wounded eight in a central Jerusalem supermarket.,terror
ISRAEL.  A bomb exploded at the British consulate in Jerusalem.  The PFLP claimed responsibility.,terror
"FEDERAL REPUBLIC OF GERMANY.  A bomb damaged an Ethiopian Airlines Boeing 707 jet at the Frankfurt Airport in Germany.  Several cleaning women were injured.  The Government of Ethiopia blamed the attack on the Syrian-Arab Movement for the Liberation of Eritrea.  The ELF (Eritrean Liberation Front) claimed credit for the bombing, which it said was in retaliation for the use of Ethiopian Airlines planes to transport Ethiopian troops into Eritrea, where they attack Eritrean villages.",terror
"AUSTRALIA.  The offices of the Australian-American Association in Melbourne were entered through a rear window and ransacked, after which fires were started in piles of paper in two rooms.  $2500 damage was done.",terror
AUSTRALIA.  A Molotov cocktail was thrown from a passing car at the U.S. consulate general building in Melbourne.,terror
"ECUADOR.  Five men attacked the U.S. consulate in Guayaquil, throwing Molotov cocktails that started a small fire in the consul general's office.",terror
"ISRAEL.  Members of the PFLP were responsible for planting a bomb that exploded in the crowded cafeteria of the Hebrew University in Jerusalem, wounding 29 Israeli students.",terror
"FEDERAL REPUBLIC OF GERMANY.  Molotov cocktails were thrown inside the American Memorial Library in Berlin, causing $2,000 damage.",terror
"FEDERAL REPUBLIC OF GERMANY.  A Molotov cocktail was thrown through a ground floor window of the Munich Amerika Haus, causing little damage.",terror
DENMARK.  A time bomb believed to have been planted by Croatian terrorists was disarmed at the Yugoslav embassy in Copenhagen.,terror
"CANADA.  Three Cuban refugees were arrested in New Jersey after they had attempted to bomb the Cuban consulate in Montreal.  The three were members of the Cuban Nationalist Movement, a militant anti-Castro organization.  Indicted by a Grand Jury on June 4th for conspiracy to bomb Cuban government property in Montreal, the men were Felipe Martinez y Blanca, Guillermo Novo Sampol, and Hector Diaz Limontes.",terror
BOLIVIA.  A small explosive device was thrown from a moving car in La Paz and exploded against a side wall of the Bolivian-American Center.,terror
"JORDAN.  The Trans-Arabian Pipeline in Jordan was sabotaged.  An explosive device caused a fire which blocked the flow of oil.  A spokesman of the PFLP claimed that his group had intended to pollute water supplied to Israeli settlements and fisheries in Hutch Valley.  Oil was reported to be seeping into the northern part of the Sea of Galilee, and oil slicks were seen on the Jordan River.  The Israelis managed to contain the blaze after 14 hours.",terror
"ANGOLA.  Two Africans dressed in Portuguese Army uniform and armed with machine guns and grenades hijacked a Portuguese airliner in Angola and diverted it to Pointe-Noire, Congo Republic.  The plane was carrying 11 passengers and five crewmen aboard.  The Portuguese petitioned Brazzaville on June 12 for the release of the DC-3 plane and personnel.  The plane and 13 persons were released but three Portuguese military men were detained pending an investigation.",terror
UNITED STATES.  A bomb exploded at the Loew's Orpheum Theater in New York City causing minor damage.  Press reports alleged it was set off by anti- Castro Cubans protesting the showing of the motion picture Che.,terror
AUSTRALIA.  A bomb possibly planted by Croatian extremists exploded at the Yugoslav consulate in Sydney.  There were no injuries.,terror
GREECE.  A bomb wrecked the ticket booth of a theater outside the entrance to the Tameion building which houses USIS facilities in Athens.,terror
BRAZIL.  A USIS local employee discovered a tin containing eighteen sticks of dynamite with sufficient explosive power to destroy the two story building housing the USIS offices in Fortaleza.  Police considered the bomb professionally constructed.,terror
"UNITED STATES.  Willie Lee Brent, a Black Panther charged by the FBI with participating in a shoot-out with police in San Francisco in 1968, hijacked a TransWorld Airlines jet, flight #154, carrying 87 persons from Oakland, California, to New York.  The plane was diverted to Havana, Cuba. It was the longest U.S. hijacking to date.He was in jail in Cuba for two years.",terror
ITALY.  An Eritrean student died when a bomb he was preparing in his room in Rome exploded.  Leaflets in the room announced an impending attack by the Eritrean Liberation Front.,terror
"PAKISTAN.  Three armed members of the Eritrean Liberation Front (ELF) attacked an Ethiopian airliner at the Karachi airport.  Part of the Boeing 707 burned.  No casualties were reported.  The terrorists, all of whom were captured, told authorities that they carried out the attack to dramatize their opposition to Ethiopian rule in Eritrea.  The three were convicted and sentenced to one year of hard labor.On July 31, the ELF issued a communique warning travelers that they would risk their lives if they flew on Ethiopian Airlines.  The communique said that the ELF would resort to attacks on Ethiopian airliners in retaliation for Ethiopian Air Force attacks on Eritrean villages.",terror
ARGENTINA.  Rosario students burned an American flag and threw explosives at the USIS building.,terror
"ISRAEL.  Palestinian terrorists bombed a power line in Jerusalem, partially blacking out the city.",terror
"URUGUAY.  Two Tupamaro terrorists dressed in police uniforms attacked a facility of General Motors Corporation in Montevideo, causing damage estimated at one million dollars.",terror
ISRAEL.  A fire caused by a PFLP bomb burned four hours at an oil pipeline in Haifa.,terror
ARGENTINA.  A series of bombings occurred in stores of the U.S.-owned Minimax supermarket chain during an official visit by New York State Governor Nelson Rockefeller.  Total damage was estimated at $3 million.,terror
"FEDERAL REPUBLIC OF GERMANY.  In an assassination attempt, a Croatian nationalist seriously wounded the head of the Yugoslav mission in West Berlin and injured one other person.",terror
INDIA.  Two time bombs exploded in the USIS reading room in the consulate section of the consulate general at Little Russel Street Annex in Calcutta. One library patron received a bruise on his ankle from a fragment and one USIS local employee received minor burns.,terror
"UNITED KINGDOM.  Terrorists fire-bombed a London department store known to have links with Israel.  The PFLP later claimed responsibility and warned that there would be more bomb attacks on Jewish-owned establishments in London and in the United States.  PFLP leader George Habbash said, We shall expand our operations everywhere, in all parts of the world.  The enemy camp includes not only Israel but also the Zionist movement, world imperialism led by the United States, and reactionary powers bound to imperialism.",terror
"UNITED KINGDOM.  Terrorists fire-bombed a second London department store known to have links with Israel.  The PFLP later claimed responsibility and warned that there would be more bomb attacks on Jewish-owned establishments in London and in the United States.  PFLP leader George Habbash said, We shall expand our operations everywhere, in all parts of the world.  The enemy camp includes not only Israel but also the Zionist movement, world imperialism led by the United States, and reactionary powers bound to imperialism.",terror
SUDAN.  The USIS library in Khartoum was the target of a small bomb.,terror
PHILIPPINES.  Hand grenades were thrown at the USIS library and consulate building in Manila.  One Filipino was killed.,terror
YUGOSLAVIA.  Arson occurred in the Belgrade office of the U.S. Binational Commission Cultural Exchange during the night.,terror
GREECE.  A cleaning woman discovered an explosive device in the Athens USIS Library.  It was set to explode when the library was vacant.,terror
JAPAN.  A knife-wielding Japanese youth made an unsuccessful assault on U.S. Ambassador to Japan A. H. Meyer as he was accompanying Secretary of State William Rogers to the Tokyo airport.,terror
"ISRAEL.  Members of the PFLP set a bomb near El Hamma which blew up an Israeli bus, killing its civilian driver and a soldier and wounding twelve other soldiers.",terror
INDIA.  An explosion at the Calcutta Post Office was directed at the USIS library.,terror
GREECE.  Two American tourists were injured when a bomb exploded at an Olympic Airways facility in Athens.,terror
"UNITED KINGDOM.  PFLP terrorists planted incendiary bombs in Marks and Spencers, a department store in London.",terror
DENMARK.  The Israel Tourist Office in Copenhagen was bombed.,terror
"EGYPT.  An Egyptian Misrair Anatov-24 flying from Cairo to Aswan was hijacked to an airstrip north of Jidda, Saudi Arabia by six hijackers.",terror
"UNITED KINGDOM.  Terrorists bombed the Israeli Zim Lines office in London, injuring one person.  The PFLP claimed responsibility.",terror
"FRANCE. Two members of the PFLP hijacked a TWA flight 840 707 en route between Paris and Athens.  The plane carried a crew of 12 and 101 passengers.  Announcing to the passengers the Che Guevara Commando Unit of PFLP had taken command of the flight, they ordered the plane flown to Damascus, Syria, where the passengers managed to jump from the plane before a bomb went off and destroyed the plane.  Four persons were injured.  The PFLP said the hijacking and destruction of the TWA plane, plus the hijacking of an El Al Israel Airlines plane to Algeria in July l968, the attacks on El Al planes in Athens in December 1968 and in Zurich in February 1969, were all part of a plan to strike at imperialist interests within and outside the Arab world. They also asserted that the action was in reprisal for American assistance to Israel.  The Syrians, holding six Israeli passengers, freed 105 passengers and crewmen who were flown to Athens and Rome.  Four of the Israelis, all women, were released September 1 and were flown back to Israel.  The two remaining Israelis were held by the PLO as hostages for the release of Syrian comrades held in Israeli prisons. Both hijackers, a woman, Leila A.  Khaled, and Salim K.  Essawi, were taken into Syrian custody.",terror
JAPAN.  Two Molotov cocktails were thrown at the U.S. embassy in Tokyo.,terror
"BRAZIL.  Members of theRevolutionary Movement of the 8th (MR-8) and ALN (Action for National Liberation) kidnapped Charles Burke Elbrick, U.S. ambassador to Brazil, in Rio de Janeiro.  The kidnappers took Elbrick from his car and left a ransom note demanding the release of 15 prisoners who were to be flown to Algeria, Chile, or Mexico, and the publication of an antigovernment manifesto.  The kidnappers negotiated with the government by notes.On September 5, the government agreed to release the prisoners and authorized Brazilian newspapers to publish the manifesto.  The deal was almost upset at the final moment when paratroopers in Rio de Janeiro attempted to prevent the plane carrying the prisoners from taking off.  The paratroopers were ordered back to their barracks, however, and the plane left for Mexico on September 6.  Ambassador Elbrick was released on September 7.Following the episode, Brazilian authorities initiated a roundup of leftist suspects, arresting as many as 4,000.  This was the first of the diplomatic kidnappings, a practice that spread rapidly throughout Latin America in the next few years.",terror
"ECUADOR.  Twelve men and one woman armed with machine guns hijacked two Ecuadorean Air Force transport planes to Cuba.  During a refueling stop in Colombia, shooting broke out and one co-pilot was killed and one crew member wounded.  One of the planes was abandoned in Colombia, while the other continued to Panama and on to Cuba.  Passengers on the abandoned plane said the hijackers had explained their mission as a retaliatory act to protest the deaths of several students in anti-government rioting in Guayaquil in May.",terror
"THE NETHERLANDS.  PFLP terrorists claimed credit for throwing hand grenades at the Israeli Embassy at The Hague.  There were no injuries or damage.   On Sept. 9, 1969 the PFLP claimed credit for the three coordinated attacks (Brussels, Bonn & The Hague).",terror
"FEDERAL REPUBLIC OF GERMANY.  Two PFLP terrorists bombed the Israeli embassy in Bonn, causing minor damage. On Sept. 9, 1969 the PFLP claimed credit for the three coordinated attacks (Brussels, Bonn & The Hague).",terror
"BELGIUM.  Three Arabs recruited by Al Fatah, two of them teenage boys, threw hand grenades at the El Al Airlines office in Brussels.  Four people were injured by flying glass. On Sept. 9, 1969 the PFLP claimed credit for the three coordinated attacks (Brussels, Bonn & The Hague).",terror
"ETHIOPIA.  Murray E.  Jackson, the American consul general in Asmara, was kidnapped, along with a British businessman, by members of the ELF.  No ransom demands were made.  After signing a document stating that he had been instructed in the ELF's objectives and that he had not been mistreated, Mr. Jackson was released several hours later.",terror
"JORDAN.  A bomb went off on the porch of the Amman home of the U.S. assistant army attache, causing no injuries and only slight damage.",terror
ITALY.  Two small Molotov cocktails were thrown at the entrance of the Palermo apartment building housing the American consul general.,terror
"ETHIOPIA.  Three armed members of the Eritrean Liberation Front (ELF) hijacked an Ethiopian Airlines DC-6 with 66 passengers aboard.  The flight, bound for Djibouti from Addis Ababa, was forced to land at Aden, Southern Yemen.  One of the hijackers, Mohammed Sayed, 18, was shot by an Ethiopian secret police official who had been a passenger on the flight.  Police captured the other two hijackers.",terror
"BRAZIL.  Terrorists in two sedans pulled up in front of the U.S. consulate in Sao Paulo, dismounted, and forced the guard to kneel and forfeit his revolver.  Two policemen arrived but were gunned down as they were leaving their car.",terror
BOLIVIA.  A man threw a bomb in front of the U.S. consul's home in La Paz.,terror
ECUADOR.  A large noise bomb was thrown from a small gray European car at the base of the wall adjoining the main entrance to the chancery of the U.S. embassy in Quito.,terror
CANADA.  A firebomb was thrown against the door of the U.S. consulate general in Vancouver.,terror
"ARGENTINA.  A bomb damaged the offices of the First National City Bank in Cordoba.  It was part of a series of attacks that day against American businesses. Pepsi-Cola, Squibb, and Dunlop Tires were also attacked.",terror
"ARGENTINA.  A bomb damaged the offices of Pepsi-Cola in Cordoba.  It was part of a series of bombings in the city against American businesses.  First National City Bank, Squibb, and Dunlop Tires were also attacked.",terror
"ARGENTINA.  A bombs damaged the offices of Squibb in Cordoba.  It was part of a series of bombings against American businesses in the city.  First National City Bank, Pepsi-Cola, and Dunlop Tires were also attacked.",terror
ARGENTINA.  Bombs damaged offices of IBM Corporation and General Electric Company in San Miguel de Tucuman.There were four more bombings in Cordoba against American businesses the same day.,terror
ARGENTINA.  Bombs damaged offices of IBM Corporation and General Electric Company in San Miguel de Tucuman.There were four other bombing the same day in Cordoba against American businesses.,terror
"ARGENTINA.  A bomb damaged the offices of Squibb  in Cordoba.  There were three other bombings against American businesses in Cordoba the same day - First National City Bank, Pepsi-Cola, and Dunlop Tires.",terror
ARGENTINA.  The U.S.  Information Service library in Buenos Aires was bombed.,terror
ARGENTINA.  A branch of the Bank of Boston in Buenos Aires was bombed.,terror
ARGENTINA.  An office of Remington Rand was bombed in Santa Fe.,terror
COLOMBIA.  Unidentified gunmen fired on the Swiss embassy in Bogota. No one was wounded.,terror
PERU.  Five Molotov cocktails were thrown at the front doors of the U.S. embassy chancery in Lima.  Only one bomb ignited.,terror
BOLIVIA.  A bomb exploded in front of the La Paz headquarters of the U.S. Peace Corps.,terror
"LEBANON.  A small explosive charge detonated in Beirut under the car of the U.S. embassy regional communications officer, which was parked in front of his home.",terror
JAPAN.  A time bomb was placed near the reception desk of the American Cultural Center in Tokyo.  It was found and dismantled.,terror
BOLIVIA.  A dynamite stick was thrown at the La Paz US Binational Center.,terror
ARGENTINA.  Offices of 15 foreign firms--nine U.S.-owned--were bombed.  The FAP (Peronist Armed Forces) claimed responsibility.,terror
ARGENTINA.  Offices of 15 foreign firms--nine U.S.-owned--were bombed.  The FAP (Peronist Armed Forces) claimed responsibility.,terror
